

n: 1000 gestosc: 0,2

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.0731288   00:00:00.0941919   00:00:00.1261916   00:00:00.5489523   9999316
00:00:00.0695286   00:00:00.0885177   00:00:00.1254923   00:00:00.5286951   10001522
00:00:00.0723837   00:00:00.0873202   00:00:00.1187988   00:00:00.5328362   10000248
00:00:00.1014757   00:00:00.0847037   00:00:00.1177661   00:00:00.5476506   9994234
00:00:00.0709990   00:00:00.0956051   00:00:00.1159216   00:00:00.5430201   9994868
00:00:00.0675323   00:00:00.0862591   00:00:00.1209578   00:00:00.5181367   9998644
00:00:00.0723391   00:00:00.0847492   00:00:00.1137444   00:00:00.5328342   10000445



n: 10000 gestosc: 0,4

etykiety           nastepniki         luki               macierz            liczba lukow
00:00:00.1446406   00:00:00.1639880   00:00:00.2326013   00:00:00.9137815   20001297
00:00:00.1397960   00:00:00.1744106   00:00:00.2449114   00:00:00.8941303   19997567
00:00:00.1334576   00:00:00.1622663   00:00:00.2249916   00:00:00.8959290   19998249
00:00:00.1483613   00:00:00.1708317   00:00:00.2337288   00:00:00.9114850   19995190
00:00:00.1426349   00:00:00.1814012   00:00:00.2401628   00:00:00.9016914   19999155
00:00:00.1411380   00:00:00.1721409   00:00:00.2390092   00:00:00.8818747   19999576
00:00:00.1391026   00:00:00.1705105   00:00:00.2410315   00:00:00.9154862   19996368
00:00:00.1459345   00:00:00.1661103   00:00:00.2272869   00:00:00.8976685   19998359
00:00:00.1483870   00:00:00.1698259   00:00:00.2263016   00:00:00.9147000   19995648
00:00:00.1360137   00:00:00.1672880   00:00:00.2289861   00:00:00.8899205   19996932
